Acni_4959	BJBX01004959.1
Acni_26842	BJBX01026842.1
Acni_15333	BJBX01015333.1
Acni_32419	BJBX01032419.1
Acni_6902	BJBX01006902.1
Acni_42404	BJBX01042404.1
Acni_7675	BJBX01007675.1
Acni_147	BJBX01000147.1
Acni_32756	BJBX01032756.1
Acni_19850	BJBX01019850.1
Acni_30855	BJBX01030855.1
Acni_13425	BJBX01013425.1
Acni_1730	BJBX01001730.1
Acni_24601	BJBX01024601.1
Acni_29686	BJBX01029686.1
Acni_35706	BJBX01035706.1
Acni_25573	BJBX01025573.1
Acni_5809	BJBX01005809.1
Acni_13897	BJBX01013897.1
Acni_2262	BJBX01002262.1
Acni_33119	BJBX01033119.1
Acni_20740	BJBX01020740.1
Acni_37534	BJBX01037534.1
Acni_26170	BJBX01026170.1
Acni_746	BJBX01000746.1
Acni_25737	BJBX01025737.1
Acni_42408	BJBX01042408.1
Acni_43152	BJBX01043152.1
Acni_16703	BJBX01016703.1
Acni_38121	BJBX01038121.1
Acni_23470	BJBX01023470.1
Acni_5692	BJBX01005692.1
Acni_27374	BJBX01027374.1
Acni_20473	BJBX01020473.1
Acni_28799	BJBX01028799.1
Acni_44419	BJBX01044419.1
Acni_14392	BJBX01014392.1
Acni_5891	BJBX01005891.1
Acni_34210	BJBX01034210.1
Acni_21139	BJBX01021139.1
Acni_28560	BJBX01028560.1
Acni_6014	BJBX01006014.1
Acni_10430	BJBX01010430.1
Acni_2954	BJBX01002954.1
Acni_14113	BJBX01014113.1
Acni_7090	BJBX01007090.1
Acni_11408	BJBX01011408.1
Acni_23391	BJBX01023391.1
Acni_31780	BJBX01031780.1
Acni_4142	BJBX01004142.1
Acni_5887	BJBX01005887.1
Acni_23039	BJBX01023039.1
Acni_12596	BJBX01012596.1
Acni_24742	BJBX01024742.1
Acni_13866	BJBX01013866.1
Acni_4318	BJBX01004318.1
Acni_30375	BJBX01030375.1
Acni_44321	BJBX01044321.1
Acni_24978	BJBX01024978.1
Acni_27475	BJBX01027475.1
Acni_41056	BJBX01041056.1
Acni_42159	BJBX01042159.1
Acni_39840	BJBX01039840.1
Acni_5689	BJBX01005689.1
Acni_37616	BJBX01037616.1
Acni_8410	BJBX01008410.1
Acni_9493	BJBX01009493.1
Acni_35023	BJBX01035023.1
Acni_5962	BJBX01005962.1
Acni_1716	BJBX01001716.1
Acni_31975	BJBX01031975.1
Acni_7909	BJBX01007909.1
Acni_5341	BJBX01005341.1
Acni_20618	BJBX01020618.1
Acni_2416	BJBX01002416.1
Acni_44005	BJBX01044005.1
Acni_42744	BJBX01042744.1
Acni_3862	BJBX01003862.1
Acni_16021	BJBX01016021.1
Acni_34576	BJBX01034576.1
Acni_4899	BJBX01004899.1
Acni_28978	BJBX01028978.1
Acni_3398	BJBX01003398.1
Acni_5731	BJBX01005731.1
Acni_31218	BJBX01031218.1
Acni_28638	BJBX01028638.1
Acni_38285	BJBX01038285.1
Acni_21497	BJBX01021497.1
Acni_14294	BJBX01014294.1
Acni_3853	BJBX01003853.1
Acni_13320	BJBX01013320.1
Acni_28510	BJBX01028510.1
Acni_34144	BJBX01034144.1
Acni_13940	BJBX01013940.1
Acni_31885	BJBX01031885.1
Acni_23629	BJBX01023629.1
Acni_9136	BJBX01009136.1
Acni_34784	BJBX01034784.1
Acni_4389	BJBX01004389.1
Acni_43645	BJBX01043645.1
Acni_3415	BJBX01003415.1
Acni_44361	BJBX01044361.1
Acni_2750	BJBX01002750.1
Acni_15708	BJBX01015708.1
Acni_28394	BJBX01028394.1
Acni_20685	BJBX01020685.1
